Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suite1,Chrome 70.0.3538.110,,2018-12-13 15:32:52,2018-12-13 15:33:25,32.768s,PASSED
,,,,,,
Test Cases/New Test Case (1),Chrome 70.0.3538.110,,2018-12-13 15:32:54,2018-12-13 15:33:24,30.325s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.110,,2018-12-13 15:32:54,2018-12-13 15:32:54,0.033s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-13 15:32:56,2018-12-13 15:33:02,5.418s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-13 15:33:02,2018-12-13 15:33:03,1.314s,PASSED
"navigateToUrl(""https://ckeditor.com/ckeditor-5/demo/"")",Chrome 70.0.3538.110,,2018-12-13 15:33:03,2018-12-13 15:33:24,21.614s,PASSED
