Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suite1,Chrome 70.0.3538.110,,2018-12-13 15:28:42,2018-12-13 15:28:59,16.522s,PASSED
,,,,,,
Test Cases/New Test Case (1),Chrome 70.0.3538.110,,2018-12-13 15:28:45,2018-12-13 15:28:58,13.309s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.110,,2018-12-13 15:28:45,2018-12-13 15:28:45,0.051s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-13 15:28:46,2018-12-13 15:28:52,5.933s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-13 15:28:52,2018-12-13 15:28:53,1.224s,PASSED
"navigateToUrl(""https://ckeditor.com/ckeditor-5/demo/"")",Chrome 70.0.3538.110,,2018-12-13 15:28:53,2018-12-13 15:28:58,4.698s,PASSED
